Game,Team1,Team1_Victory,Team2,Team2_Victory
CFP_First_Round1,1. Oklahoma (+2),FALSE,2. Alabama,TRUE
CFP_First_Round2,3. Miami (+4),FALSE,4. Texas A&M,FALSE
CFP_First_Round3,5. Tulane (+17),FALSE,6. Ole Miss,FALSE
CFP_First_Round4,7. James Madison (+21),FALSE,8. Oregon,FALSE
Gator_Bowl,9. Missouri,FALSE,10. Virginia (+8),FALSE
Military_Bowl,11. Pittsburgh,FALSE,12. East Carolina (+7),FALSE
Arizona_Bowl,13. Miami-OH (+4),FALSE,14. Fresno State,FALSE
Pinstripe_Bowl,15. Penn St. (+2),FALSE,16. Clemson,FALSE
Alamo_Bowl,17. Southern Cal,FALSE,18. TCU (+7),FALSE
Independence_Bowl,19. Coastal Carolina (+10),FALSE,20. Louisana Tech,FALSE
Music_City_Bowl,21. Tennessee,FALSE,22. Illinois (+7),FALSE
Reliaquest_Bowl,23. Vanderbilt,FALSE,24. Iowa (+5),FALSE
Sun_Bowl,25. Arizona St (+2),FALSE,26. Duke,FALSE
Citrus_Bowl,27. Michigan (+6),FALSE,28. Texas,FALSE
Las_Vegas_Bowl,29. Nebraska (+14),FALSE,30. Utah,FALSE
Armed_Forces_Bowl,31. Texas State,FALSE,32. Rice (+10),FALSE
Dukes_Mayo_Bowl,33. Mississippi State,FALSE,34. Wake Forest (+3),FALSE
Liberty_Bowl,35. Navy (+2),FALSE,36. Cincinnati,FALSE